state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha,
1,30,RSN126_GAZLI_GAZ000,-0.003813349,252.6191044,152.6839147,-0.001952305,-0.118644662,957,0,-1.333333333,2,
1,30,RSN126_GAZLI_GAZ000,-0.004783314,252.6191044,152.6839147,-0.00221257,-0.118254347,1099,0,-0.666666667,2,
1,30,RSN126_GAZLI_GAZ000,-0.006,252.6191044,152.6839147,-0.002183968,-0.139177153,1100,0,0,2,
1,30,RSN126_GAZLI_GAZ000,-0.007526163,252.6191044,152.6839147,-0.002140543,-0.122423731,1102,FAILED,0.666666667,2,
1,30,RSN126_GAZLI_GAZ000,-0.00944052,252.6191044,152.6839147,-0.002125336,-0.035523611,1104,FAILED,1.333333333,2,
1,30,RSN126_GAZLI_GAZ000,-0.011841815,252.6191044,152.6839147,-0.002120314,-0.112902857,1107,0,2,2,
1,25,RSN126_GAZLI_GAZ000,-0.003040074,114.4014823,152.0221768,-0.001669976,-0.111679553,566,0,-2,-2,
1,25,RSN126_GAZLI_GAZ000,-0.003813349,114.4014823,152.0221768,-0.002001054,-0.110706202,566,0,-1.333333333,-2,
1,25,RSN126_GAZLI_GAZ000,-0.004783314,114.4014823,152.0221768,-0.001972023,-0.120578039,566,0,-0.666666667,-2,
1,25,RSN126_GAZLI_GAZ000,-0.006,114.4014823,152.0221768,-0.001944169,-0.113191643,566,0,0,-2,
1,25,RSN126_GAZLI_GAZ000,-0.007526163,114.4014823,152.0221768,-0.115880895,-0.109328883,566,0,0.666666667,-2,
1,25,RSN126_GAZLI_GAZ000,-0.00944052,114.4014823,152.0221768,-0.002000864,-0.097900247,566,0,1.333333333,-2,
1,25,RSN126_GAZLI_GAZ000,-0.011841815,114.4014823,152.0221768,-0.002004138,-0.100121287,566,0,2,-2,
1,25,RSN126_GAZLI_GAZ000,-0.003040074,130.5481559,152.0221768,-0.001669976,-0.111679553,665,0,-2,-1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.003813349,130.5481559,152.0221768,-0.002001054,-0.110706202,665,0,-1.333333333,-1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.004783314,130.5481559,152.0221768,-0.001972023,-0.120578039,665,0,-0.666666667,-1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.006,130.5481559,152.0221768,-0.001944169,-0.113191643,665,0,0,-1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.007526163,130.5481559,152.0221768,-0.115880895,-0.109328883,665,0,0.666666667,-1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.00944052,130.5481559,152.0221768,-0.002000864,-0.097900247,665,0,1.333333333,-1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.011841815,130.5481559,152.0221768,-0.002004138,-0.100121287,665,0,2,-1.333333333,
